Műfaj;Fogalma;Típus/Példa
Óda;Magasztos tárgyú, emelkedett hangvételű, bonyolult szerkezetű, ünnepélyes költemény, amely gyakran egy eszmét vagy személyt dicsőít.;Gondolati líra (pl. Szózat)
Himnusz;Istenhez vagy magasztos eszméhez szóló fohász, dicsőítő ének, amely közösségi érzéseket fejez ki.;Vallásos/Nemzeti líra (pl. Himnusz)
Elégia;Bánatos, mélabús hangvételű költemény, amelyben az elmúlás, a veszteség vagy a vágyott boldogság elérhetetlensége jelenik meg.;Líra (pl. Szeptember végén)
Epigramma;Rövid, tömör, eredetileg sírfeliratként szolgáló műfaj, amely egyetlen gondolatot fejez ki, gyakran csattanóval a végén.;Líra (pl. Huszt)
Szonett;Szigorúan kötött, 14 sorból álló versforma (4+4+3+3), amely a reneszánsz óta a legnépszerűbb lírai formák egyike.;Líra (pl. Dante, Petrarca művei)
Rapszódia;Csapongó, szenvedélyes, változó ritmusú és érzelmi töltésű lírai műfaj, amely a lelkiállapot hirtelen változásait tükrözi.;Líra (pl. Egy gondolat bánt engemet)
Ekloga;Pásztori költemény, amely gyakran párbeszédes formában a békét és a természet iránti vágyódást állítja szembe a kor zűrzavarával.;Líra (pl. Radnóti Miklós: Hetedik ecloga)
Zsoltár;Eredetileg ókori zsidó vallásos ének, amely Istent dicsőíti, kérlel, vagy az emberi esendőséget, panaszt fejezi ki.;Vallásos líra (pl. 23. zsoltár)
Ars poetica (Költői hitvallás);Olyan vers, amelyben a szerző a saját költészetéről, a művészet céljáról, eszközeiről és feladatairól gondolkodik.;Gondolati líra (pl. József Attila: Ars poetica)
Epistola (Költői levél);Megszólító jellegű, távol lévő, valós vagy fiktív személyhez írt verses levél, amely személyes és közéleti témákat is érint.;Líra (pl. Petőfi Sándor: Arany Jánoshoz)
Ditirambus;Dionüszoszhoz szóló ókori görög himnuszból kialakult, szenvedélyes, elragadtatott, gyakran szabálytalan ritmusú lírai műfaj.;Líra (pl. Csokonai Vitéz Mihály: A Bacchushoz)
Bordal;A borfogyasztást, az életörömöt, a jókedvet és a barátságot dicsőítő, gyakran énekelhető lírai műfaj.;Líra (pl. Vörösmarty Mihály: Fóti dal)
Siratóének (Nénia);Halottat búcsúztató, a gyászt és a veszteség fájdalmát kifejező, ősi eredetű lírai műfaj.;Líra (pl. Ómagyar Mária-siralom)
Haláltánc (Danse macabre);A késő középkorban kialakult műfaj, amely arra figyelmeztet, hogy a halál előtt minden ember (király és koldus is) egyenlő.;Líra/Képzőművészet (pl. Arany János: Híd-avatás)
Képvers (Kalligram);Olyan vers, amelyben a betűk, szavak, verssorok elrendezése vizuálisan is ábrázolja a vers témáját, mondanivalóját.;Vizuális líra (pl. Radnóti Miklós, Apollinaire képversei)

Drámai műfajok
Tragédia;Olyan drámai műfaj, amelyben a pozitív hős és az általa képviselt értékrend bukása elkerülhetetlen, ami a nézőben katarzist vált ki.;Dráma (pl. Antigoné)
Komédia;Olyan drámai műfaj, amely nevetséges jellemeket vagy helyzeteket mutat be, célja a szórakoztatás és a hibák kifigurázása.;Dráma (pl. Tartuffe)
Drámai költemény;Az emberi lét alapvető kérdéseit feszegető, lírai elemekkel átszőtt, gondolati jellegű drámai mű, amely gyakran olvasásra is készül.;Dráma (pl. Az ember tragédiája)
Színmű;A tragédia és a komédia elemeit ötvöző drámai műfaj, amely hétköznapi problémákat és konfliktusokat dolgoz fel.;Dráma (pl. Csongor és Tünde)
Abszurd dráma;A 20. században kialakult drámatípus, amely a cselekmény és a nyelv szétesésével az emberi lét értelmetlenségét és kilátástalanságát mutatja be.;Dráma (pl. Samuel Beckett: Godot-ra várva)
Misztériumjáték és Moralitás;Középkori vallásos színpadi műfajok, amelyek bibliai történeteket (misztérium) vagy az erények és bűnök allegorikus küzdelmét (moralitás) vitték színre.;Dráma (pl. Akárki)
Tragikomédia;Tragikus és komikus elemeket ötvöző dráma. A hősök küzdelme sokszor komikus hatást kelt, vagy a tragikus helyzet feloldódik, esetleg a komédia fordul komorba.;Dráma (pl. Örkény István: Tóték - drámaváltozat)
Bohózat (Farce);Könnyed, vaskos humorra, helyzetkomikumra, félreértésekre és túlzásokra építő, szórakoztató színpadi műfaj.;Dráma (pl. Nóti Károly bohózatai)
Mirákulum;A középkori vallásos dráma egyik formája, amely a szentek életét, vértanúságát és csodatételeit mutatja be.;Vallásos dráma

Átmeneti és határműfajok / Esszéistika
Ballada;Sűrített cselekményű, tragikus végkifejletű műfaj, amelyet gyakran „tragédia dalban elbeszélve” néven említenek. Homályos, szaggatott előadásmód jellemzi.;Epika (történet), Líra (verses forma, érzelmek), Dráma (párbeszédek, konfliktus)
Életkép;A mindennapi élet egy-egy jellemző helyzetét, alakját vagy típusát bemutató rövid mű. Gyakran statikus, egy pillanatot örökít meg.;Epika (szituáció bemutatása) és Líra (hangulati elemek)
Verses regény;Olyan nagyepikai mű, amely megtartja a regény cselekményét és karaktereit, de verses formában íródik, és a narrátor lírai reflexiói átszövik a szöveget.;Epika (cselekmény) és Líra (formanyelv, szubjektivitás)
Idill;A boldog, harmonikus életállapotot vagy a természet közelségét bemutató, többnyire békés hangvételű műfaj.;Líra (érzelmek) és Epika (leíró jelleg)
Példázat (Parabola);Rövid, tanító szándékú történet, amely egy erkölcsi, vallási vagy filozófiai igazságot világít meg egy párhuzamos történeten keresztül.;Epika (történet) és Líra/Dráma (eszmei mondanivaló)
Esszé;Tudományos, irodalmi vagy filozófiai témát irodalmi igényességgel, személyes, szubjektív hangvételben feldolgozó értekezés.;Átmeneti műfaj (pl. Babits Mihály esszéi)
Prózai levél;Megszólító jellegű, prózában írt mű, amely egyszerre lehet magánéleti dokumentum és magas irodalmi értékű alkotás.;Epika/Tényirodalom (pl. Mikes Kelemen: Törökországi levelek)
Prózavers;Lírai hangvételű, érzelmeket, hangulatokat közvetítő, költői eszközökkel élő mű, amely azonban nem versszakokba tördelve, hanem prózaformában íródik.;Líra és Epika határán (pl. Baudelaire: A romlás virágai - prózaversek)
Szociográfia;Társadalomtudományi pontosságú, de irodalmi igényességgel megírt műfaj, amely egy adott társadalmi réteg vagy település valós helyzetét, problémáit tárja fel.;Epika/Tényirodalom (pl. Illyés Gyula: Puszták népe)

Néhány fontosabb altípus és műfajcsoport
Gúny/Szatíra;A valóság visszásságait éles kritikai éllel, nevetségessé tétellel bemutató látásmód vagy műfaj.;Epika vagy Líra (pl. Swift: Gulliver utazásai)
Pamflet;Aktuális közéleti, politikai kérdésekben állást foglaló, támadó szellemű, rövid írásmű.;Epika/Publicisztika
Eszterházy-forma;A 20. századi magyar irodalomra jellemző töredékes, mozaikos elbeszélésmód (bár ez inkább stílusirányzat, sokszor műfajteremtő).;Modern epika
Paródia;Valamely ismert mű, műfaj vagy alkotói stílus túlzó, torzító, komikus hatású utánzása.;Vegyes (pl. Karinthy Frigyes: Így írtok ti)
